idsubproduto,descricaoproduto
119,CHAVE ESTRELA - 14 X 15 MM *
121,CHAVE ESTRELA - 18 X 19 MM *
124,CHAVE ESTRELA - 24 X 26 MM *
126,CHAVE ESTRELA - 27 X 32 MM *
123,CHAVE ESTRELA TRAM.42026/009 21 X 23 *
120,CHAVE ESTRELA TRAM.4826 - 16 X 17 MM *
122,CHAVE ESTRELA TRAM.4826 - 20 X 22 MM *
115,CHAVE ESTRELA TRAM.4826 - 6 X 7 MM *
116,CHAVE ESTRELA TRAM.4826 - 8 X 9 MM *
75,CHAVE FIXA - 1/2 X 9/16 *
82,CHAVE FIXA - 10 X 11MM *
84,CHAVE FIXA - 14 X 15 MM *
77,CHAVE FIXA - 3/4 X 25/32 *
81,CHAVE FIXA - 8 X 9 MM *
83,CHAVE FIXA .4812 - 12 X 13 MM *
87,CHAVE FIXA .4812 - 20 X 22 MM *
88,CHAVE FIXA TRAM.42006/010 - 24/26 *
78,CHAVE FIXA TRAM.4802 - 13/16 X 7/8 *
79,CHAVE FIXA TRAM.4802 - 15/16 X 1 *
74,CHAVE FIXA TRAM.4802 - 3/8 X 7/16 *
76,CHAVE FIXA TRAM.4802 - 5/8 X 11/16 *
85,CHAVE FIXA TRAM.4812 - 16 X 17 MM *
80,CHAVE FIXA TRAM.4812 - 6 X 7 MM *
86,CHAVE FIXA.4812 - 18 X 19 MM *
2166,"CHAVE INGLESA AJUSTAVEL 10"" *"
3689,CHAVE INGLESA AJUSTÁVEL 12'' *
