idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
1145,FF CANTONEIRA FERRO FUNDIDO 30 CM,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1144,FF CANTONEIRA FERRO FUNDIDO 40 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2194,FF CAXILHO 10 X 100 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2193,FF CAXILHO 10 X 50 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2196,FF CAXILHO 15 X 100 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2195,FF CAXILHO 15 X 50 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2198,FF CAXILHO 20 X 100 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2228,FF CAXILHO 25 X 100 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2238,FF CAXILHO 25 X 50 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2229,FF CAXILHO 30 X 100 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2239,FF CAXILHO 30 X 50 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2199,FF CHAPA DE FOGAO 3 FUROS *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
2200,FF CHAPA DE FOGAO 4 FUROS *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133544,FF GRELHA 100 X 10 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133545,FF GRELHA 100 X 15 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133546,FF GRELHA 100 X 20 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133547,FF GRELHA 100 X 25 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133548,FF GRELHA 100 X 30 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133549,FF GRELHA 50 X 10 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133550,FF GRELHA 50 X 15 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133551,FF GRELHA 50 X 20 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133552,FF GRELHA 50 X 25 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133821,FF GRELHA 50 X 30 CM *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1611,FF GRELHA BOCA DE LOBO 30 X 90 LEVE *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1612,FF GRELHA BOCA DE LOBO ART 30 X 90 PESADA *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1352,FF RALO 10 X 10 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1351,FF RALO 15 X 15 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1353,FF RALO 20 X 20 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1354,FF RALO 25 X 25 COM CAXILHO,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
350,FF RALO 25 X 25 S/ CAXILHO,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1355,FF RALO 30 X 30 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1356,FF RALO 40 X 40 *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133668,FF TAMPAO C/ ARO CX GORDURA N 1 32 CM SIMPLES *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133669,FF TAMPAO C/ ARO CX GORDURA N 2 42 CM SIMPLES,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
11511,FF TAMPAO DUPLA FACE ES/AP  ARTICULADO,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
1673,FF TAMPAO DUPLA FACE ES/AP *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
123133667,FF TAMPAO P/ CISTERNA 50 X 50 ARTICULADO *,F,1,4,44,ACESSORIO/MIUDEZA,CASA E JARDIM,FERRO FUNDIDO
